Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Long-term potentiation	1/67	0.6506856383444415	0.7068599380576306	0	0	0.9590909090909091	0.4121488356547237	ATF4
Renin secretion	1/69	0.6615010245076606	0.713476105004691	0	0	0.9307874762808349	0.38464210404613836	CREB1
p53 signaling pathway	1/72	0.6771014104635142	0.7251227870921323	0	0	0.8913221263062244	0.34755700111855564	TP53
Axon guidance	2/181	0.7751626478416639	0.824292674817544	0	0	0.7054654589502992	0.17966963864717383	NFATC3;NFATC2
Progesterone-mediated oocyte maturation	1/99	0.788891601441308	0.8330253973261365	0	0	0.6448650427913101	0.15291449696608844	PGR
Drug metabolism	1/108	0.8167983576174876	0.8565038333350045	0	0	0.5903527283690081	0.11946556268177616	NME2
Autophagy	1/128	0.866342519931769	0.8981751522616513	0	0	0.4968757937515875	0.07128921926274637	HIF1A
Purine metabolism	1/129	0.8684342531801398	0.8981751522616513	0	0	0.49296875	0.06953984685649313	NME2
Ubiquitin mediated proteolysis	1/137	0.8840350030812402	0.9080903773147433	0	0	0.46378083491461103	0.05716498610338239	AIRE
Alzheimer disease	1/171	0.9322182862948489	0.9511146029089336	0	0	0.3703795066413662	0.025996300132233453	ATF6
Focal adhesion	1/199	0.9564734615949101	0.9693120315492042	0	0	0.3175464320625611	0.014131526201397673	JUN
Endocytosis	1/244	0.9786674189894514	0.985191868449381	0	0	0.25814416567104737	0.005566468275394196	SMAD3
Neuroactive ligand-receptor interaction	1/338	0.9952145121594872	0.9952145121594872	0	0	0.1852397817555279	8.885905927719535E-4	NR3C1
