,ID,Degree,betweenness_centrality,clust_coefficient,closeness_centrality,eigenvector_centrality
2406,"['STAT3', 'BCL6', 'TP53', 'ARID3A']",8,0.0,0,0.0008177450679750588,-0.026414201501419314
2401,"['STAT3', 'BCL6', 'TP53', 'IRF9', 'IRF2']",8,0.0,0,0.0008177450679750588,0.0056824173943231275
9026,"['DLX4', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'RORC']",8,0.0,0,0.0008177450679750588,-0.009929449910433083
9024,"['DLX4', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'NEUROG3', 'FEV']",8,0.0,0,0.0008177450679750588,0.0004201865922662671
8559,"['ESRRG', 'NR0B1', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'HLX']",8,0.0,0,0.0008177450679750588,-0.009389640386240993
8565,"['ESRRB', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'SIX2']",8,0.0,0,0.0008177450679750588,0.004930268678199618
2376,"['STAT3', 'BCL6', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'FOS', 'PRDM1', 'MSX1', 'PAX3', 'MYF5']",8,0.0,0,0.0008177450679750588,-0.007374802864071366
8578,"['ESRRB', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'GTF2B']",8,0.0,0,0.0008177450679750588,-0.017604631034246556
2139,"['STAT3', 'ESR2', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'TBX21', 'RUNX3', 'FOXP3', 'IRF8', 'EBF1', 'PPARG', 'NFE2L2', 'ATF3']",8,0.0,0,0.0008177450679750588,-0.0030282402856570724
2142,"['STAT3', 'ESR2', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'TBX21', 'RUNX3', 'FOXP3', 'IRF8', 'EBF1', 'PPARG', 'FOS', 'PRDM1', 'XBP1', 'SP7', 'SATB2', 'RUNX2', 'SNAI2', 'STAT1', 'SP110']",8,0.0,0,0.0008177450679750588,0.0288660301602774
2353,"['STAT3', 'BCL6', 'TP53', 'ZBTB49']",8,0.0,0,0.0008177450679750588,0.010679800388220403
1827,"['STAT3', 'IRF4', 'KLF2', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'NEUROD1', 'INSM1', 'NKX6-1', 'NEUROG3', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'IRF8', 'EBF1', 'POU2AF1']",8,0.0,0,0.0008177450679750588,0.0036299173675645854
8095,"['FOXO3', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'TBX5']",8,0.0,0,0.0008177450679750588,0.006061102712545998
2917,"['SOX2', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'NEUROG3', 'NEUROD1', 'NKX2-2', 'FOXA2', 'SOX14']",8,0.0,0,0.0008177450679750588,0.002757983816826947
7226,"['KLF10', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'TWIST1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'RAG1']",8,0.0,0,0.0008177450679750588,0.003629917367432013
7239,"['KLF10', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'HLX']",8,0.0,0,0.0008177450679750588,0.024235468920953355
3112,"['SOX10', 'MITF', 'FOXD3', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'MEF2C', 'GLI2', 'GLI1']",8,0.0,0,0.0008177450679750588,0.023254919780963793
3109,"['SOX10', 'MITF', 'FOXD3', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'RELA', 'RELB']",8,0.0,0,0.0008177450679750588,-0.0063147906990559605
1691,"['STAT3', 'KLF5', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'IKZF1', 'GFI1']",8,0.0,0,0.0008177450679750588,-0.0012355922517504395
3105,"['SOX10', 'MITF', 'FOXD3', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'SIX6']",8,0.0,0,0.0008177450679750588,-0.003748724266976793
3094,"['SOX11', 'ATF3', 'STAT3', 'HIF1A']",8,0.0,0,0.0008177450679750588,0.004368003289662085
7297,"['JUND', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'NEUROG3', 'NEUROD1', 'NKX2-2', 'FOXA2', 'SOX14']",8,0.0,0,0.0008177450679750588,0.006843355368205479
7313,"['JUND', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'BATF']",8,0.0,0,0.0008177450679750588,0.003546595315100157
7322,"['JUNB', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'TWIST1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'IKZF1', 'GFI1']",8,0.0,0,0.0008177450679750588,0.005810925352565331
9533,"['AR', 'NKX3-1', 'TWIST1', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'SOX4', 'ZNF281']",8,0.0,0,0.0008177450679750588,0.015725993253350928
7334,"['JUNB', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'BATF']",8,0.0,0,0.0008177450679750588,0.014571353132819787
7371,"['JUN', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'TWIST1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'IKZF1', 'GFI1']",8,0.0,0,0.0008177450679750588,-0.0027778989273072527
1563,"['STAT3', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'MYCN', 'ASCL1', 'RBPJ', 'HEYL']",8,0.0,0,0.0008177450679750588,0.0007576590752977225
3057,"['SOX11', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'HES7']",8,0.0,0,0.0008177450679750588,0.010369209656094494
3054,"['SOX11', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'PBX1']",8,0.0,0,0.0008177450679750588,-0.0035376365960882697
7405,"['JUN', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'CREB1', 'REST']",8,0.0,0,0.0008177450679750588,-0.01420309383427403
7441,"['JUN', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'MYCN', 'MLXIP']",8,0.0,0,0.0008177450679750588,-0.006824607412917318
7451,"['JAZF1', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'TWIST1', 'AR', 'ZEB1', 'ETS1']",8,0.0,0,0.0008177450679750588,-0.003484767077741692
3052,"['SOX11', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'CREB1', 'NR4A2']",8,0.0,0,0.0008177450679750588,0.003936809355517601
9480,"['ASH1L', 'FOXP3', 'IRF8', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'FOS', 'PRDM1', 'MSX1', 'PAX3', 'MYOD1', 'MYOG', 'MEF2A', 'JUN', 'SREBF1', 'AR', 'TWIST1', 'FOXM1', 'STAT3', 'NKX2-1']",8,0.0,0,0.0008177450679750588,0.006843355368257779
7505,"['IRF8', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'FOS', 'PRDM1', 'MSX1', 'PAX3', 'MYOD1', 'MYOG', 'MEF2A', 'JUN', 'SREBF1', 'AR', 'TWIST1', 'FOXM1', 'STAT3', 'MYCN', 'MLXIP']",8,0.0,0,0.0008177450679750588,-0.000317899331098773
3046,"['SOX11', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'RAG1']",8,0.0,0,0.0008177450679750588,-0.0030787658600455264
3027,"['SOX2', 'DNMT1', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'NFE2L2', 'ATF3', 'STAT3', 'BATF']",8,0.0,0,0.0008177450679750588,0.00393476972149097
7530,"['IRF8', 'EBF1', 'PPARG', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'STAT3', 'MYOD1', 'MYOG', 'MEF2A', 'JUN', 'FOXK2']",8,0.0,0,0.0008177450679750588,-0.01835379931364013
3021,"['SOX2', 'DNMT1', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'NFE2L2', 'ATF3', 'STAT3', 'MYCN', 'LIN28B']",8,0.0,0,0.0008177450679750588,-0.004848465850779705
7548,"['HOXB13', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'TWIST1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'RAG1']",8,0.0,0,0.0008177450679750588,0.00436800329012639
7591,"['HOXA9', 'MYB', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'TWIST1', 'TBX20']",8,0.0,0,0.0008177450679750588,0.009806944265438764
3114,"['SOX10', 'MITF', 'FOXD3', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'HEYL']",8,0.0,0,0.0008177450679750588,0.0059108178191434844
531,"['TCF12', 'MYB', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'MYCN', 'MLXIP']",8,0.0,0,0.0008177450679750588,0.015725993253486295
7597,"['HOXA9', 'MYB', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'TWIST1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'NR2F2', 'TBX5']",8,0.0,0,0.0008177450679750588,0.00042018659330748394
3120,"['SOX10', 'MITF', 'FOXD3', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'TP63', 'IRF6']",8,0.0,0,0.0008177450679750588,0.005038884268506986
1624,"['STAT3', 'MAF', 'PRDM1', 'XBP1', 'SP7', 'SATB2', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'ZEB2']",8,0.0,0,0.0008177450679750588,0.011697445128319937
9747,"['AHR', 'ATF4', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'GATA6', 'NKX2-1', 'HEY1']",8,0.0,0,0.0008177450679750588,-0.0072618264029749285
9743,"['AHR', 'ATF4', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'HEY2']",8,0.0,0,0.0008177450679750588,0.000854901153420222
9735,"['AHR', 'ATF4', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'GTF2B']",8,0.0,0,0.0008177450679750588,-0.024849425042613157
6980,"['LEF1', 'AR', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'FOS', 'PRDM1', 'XBP1', 'SP7', 'SATB2', 'RUNX2', 'SNAI2', 'STAT1', 'IRF8', 'GATA2', 'SPI1', 'KLF4', 'TWIST1', 'FOXM1', 'STAT3', 'HLX']",8,0.0,0,0.0008177450679750588,0.01344509280080764
3202,"['SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'TWIST1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'FOXP3', 'IRF8', 'EBF1', 'PPARG', 'NFE2L2', 'ATF3', 'CREB1', 'SKIL']",8,0.0,0,0.0008177450679750588,-7.948328182892399e-05
3198,"['SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'TWIST1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'NR2F2', 'TBX5']",8,0.0,0,0.0008177450679750588,0.006281089978974285
9730,"['AHR', 'ATF4', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'SPDEF']",8,0.0,0,0.0008177450679750588,-0.006135566073039503
9728,"['AHR', 'ATF4', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'STAT5A', 'PAX5', 'BACH2']",8,0.0,0,0.0008177450679750588,-0.01628288707518483
7022,"['KLF5', 'SOX2', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'HMGA1', 'STAT3', 'HIF1A', 'ETS1']",8,0.0,0,0.0008177450679750588,0.0007576590754297225
9725,"['AHR', 'ATF4', 'ATF3', 'STAT3', 'SALL4', 'NANOG', 'POU5F1', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'ZEB2']",8,0.0,0,0.0008177450679750588,-0.015270860942119218
558,"['TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'TWIST1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'FOXP3', 'IRF8', 'EBF1', 'PPARG', 'FOS', 'FOSL2', 'FOSL1']",8,0.0,0,0.0008177450679750588,-0.026414201500795244
7064,"['KLF5', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'RAG1']",8,0.0,0,0.0008177450679750588,-2.8827143518997743e-06
3159,"['SOX10', 'FOXD3', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'NKX3-1', 'FOXO1', 'KLF2', 'GATA4', 'MEF2C', 'GLI2', 'GLI1']",8,0.0,0,0.0008177450679750588,-0.023849168528289895
1582,"['STAT3', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'MYCN', 'ASCL1', 'INSM1', 'NKX6-1', 'NEUROG3', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'RELA', 'REL', 'NFATC2', 'EGR3']",8,0.0,0,0.0008177450679750588,-0.005715290392424089
3151,"['SOX10', 'FOXD3', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'TET1']",8,0.0,0,0.0008177450679750588,0.014425641942419676
1327,"['STAT3', 'NFATC2', 'SOX2', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'ASCL1', 'RBPJ', 'HEYL']",8,0.0,0,0.0008177450679750588,-0.013021087917370966
7125,"['KLF4', 'TWIST1', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'TET1', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'STAT5A', 'DPF3']",8,0.0,0,0.0008177450679750588,-0.02928810950405094
1652,"['STAT3', 'MAF', 'PRDM1', 'XBP1', 'SP7', 'SATB2', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'NEUROG3', 'NEUROD1', 'INSM1', 'NKX6-2']",8,0.0,0,0.0008177450679750588,0.0043680032904866595
48,"['ZNF467', 'PPARG', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'STAT3', 'MYOD1', 'BARX2']",8,0.0,0,0.0008177450679750588,-0.015102048064820907
7150,"['KLF4', 'TWIST1', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'SNAI1', 'ZEB1', 'AR', 'FOXA1', 'TET1', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'HMGA1']",8,0.0,0,0.0008177450679750588,0.005668354602934258
9654,"['AR', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'MYCN', 'MLXIP']",8,0.0,0,0.0008177450679750588,-0.013765874844858856
9653,"['AR', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'MYCN', 'MXI1']",8,0.0,0,0.0008177450679750588,0.004930268677621116
7169,"['KLF4', 'CEBPB', 'PPARG', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'KLF5', 'SOX2', 'STAT3', 'MYOD1', 'SIX1']",8,0.0,0,0.0008177450679750588,0.005886053665401473
9616,"['AR', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'CREB1', 'NR4A2']",8,0.0,0,0.0008177450679750588,0.014425641941508237
7183,"['KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'POU5F1', 'SALL4', 'NANOG', 'STAT3', 'TWIST1', 'TET1', 'EGR1', 'SNAI1', 'ZEB1', 'ETS1']",8,0.0,0,0.0008177450679750588,0.010878076789158427
9611,"['AR', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'KLF2', 'GATA4', 'MEF2C', 'NR3C1', 'FOXO1', 'FOXP3', 'IRF8', 'EBF1', 'ZNF423']",8,0.0,0,0.0008177450679750588,0.017924594395732654
7593,"['HOXA9', 'MYB', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'SNAI1', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'TP53', 'KLF2', 'SOX9', 'NEUROG3', 'FOXM1', 'STAT3', 'TWIST1', 'AR', 'ZEB1', 'ETS1']",8,0.0,0,0.0008177450679750588,0.003828193766765481
2214,"['STAT3', 'DNMT1', 'TP53', 'NANOG', 'POU5F1', 'SALL4', 'MYC', 'SNAI1', 'ZEB1', 'AR', 'TWIST1', 'FOXM1', 'SOX9', 'NEUROG3', 'NEUROD1', 'TBR1']",8,0.0,0,0.0008177450679750588,0.0005540342202786729
7669,"['HNF1A', 'MYC', 'SNAI1', 'NANOG', 'POU5F1', 'STAT3', 'TWIST1', 'FOXM1', 'SOX9', 'RUNX2', 'SNAI2', 'STAT1', 'TBX21', 'RUNX3', 'EGR1', 'CEBPA', 'PPARG', 'TP53', 'E2F7']",8,0.0,0,0.0008177450679750588,0.017815978805309485
